id,equip_coordonnees,inst_numero,inst_nom,equip_type_name,equip_type_famille,aps_name,equip_acc_libre,equip_url,inst_adresse,new_code,equip_prop_nom,equip_gest_type,inst_acc_handi_bool
203952,"{'lon': 5.371161, 'lat': 43.31423}",I132030017,LYCEE PROFESSIONNEL LE CHATELIER,Salle multisports (gymnase),Salle multisports,,false,,108 Avenue Roger Salengro,13203,,Etablissement Public,true
203966,"{'lon': 5.424287, 'lat': 43.274815}",I132100028,LYCEE JEAN PERRIN,Structure Artificielle d'Escalade,Structure Artificielle d'Escalade,['Escalade'],false,,74 Rue Verdillon,13210,,Etablissement Public,true
203968,"{'lon': 5.430302, 'lat': 43.288672}",I132110006,ECOLE DE LA PARETTE,Salle de culturisme,Salle ou terrain spécialisé,['Musculation'],false,,60 AV JEAN LOMBARD,13211,,Etat,false
203969,"{'lon': 5.43664, 'lat': 43.293468}",I132110020,ECOLE MIXTE DE LA GROGNARDE,Terrain de handball,Terrain extérieur de petits jeux collectifs,,false,,BD SOULT,13211,,Commune,false
203982,"{'lon': 5.42593, 'lat': 43.325}",I132130015,GYMNASE COLLEGE J. PREVERT,Salle multisports (gymnase),Salle multisports,"['Basket-Ball', 'Gymnastique Acrobatique', 'Gymnastique Artistique']",false,,87 AVENUE FRAIS VALLON,13213,,Département,false
204033,"{'lon': 4.81683, 'lat': 43.63818}",I130970004,TERRAIN DE PROXIMITE DE L'ECOLE DU LION D'OR,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage']",true,,RUE DU CHENE VERT,13097,,Commune,true
204034,"{'lon': 4.83476, 'lat': 43.7963}",I131000008,ECOLE PRIMAIRE DE L'ARGELIER,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Course sur piste', 'Handball / Mini hand / Handball de plage']",false,,Route d’Avignon,13100,,Commune,true
204035,"{'lon': 5.35556, 'lat': 43.29312}",I132070017,ECOLE MIXTE PHARO CATALANS,Salle multisports (gymnase),Salle multisports,['Handball / Mini hand / Handball de plage'],false,,3 RUE DES CATALANS,13207,,Commune,true
204036,"{'lon': 5.38072, 'lat': 43.25151}",I132080026,ECOLE BONNEVEINE,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Handball / Mini hand / Handball de plage']",false,,52 BD DU SABLIER,13208,,Commune,false
204039,"{'lon': 5.362418, 'lat': 43.384419}",I132150045,Ecole Jean Perrin,Salle multisports (gymnase),Salle multisports,['Basket-Ball'],false,,Chemin des bourrely,13215,,Commune,true
209198,"{'lon': 5.45227, 'lat': 43.51774}",I130010019,Université Aix Marseille - CENTRE SPORTIF ET UNIVERSITAIRE,Dojo / Salle d'arts martiaux,Salle de combat,['Judo / Jujitsu / Taïso'],false,,35 AVENUE JULES FERRY,13001,,Etablissement Public,true
209199,"{'lon': 5.563953, 'lat': 43.298891}",I130050018,COLLEGE NATHALIE SARRAUTE,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage']",false,,Route d'Eoures,13005,,Commune,true
209200,"{'lon': 5.02910166979, 'lat': 43.6862255668}",I130350010,COLLEGE LUCIE AUBRAC,Terrain de handball,Terrain extérieur de petits jeux collectifs,['Handball / Mini hand / Handball de plage'],false,,Les Coudoulieres,13035,,EPCI,true
209201,"{'lon': 5.204354, 'lat': 43.41479}",I130540029,Lycée Maurice Genevoix,Salle de musculation/cardiotraining,Equipement d'activités de forme et de santé,['Musculation'],false,,Avenue du General de Gaulle,13054,,Commune,false
209202,"{'lon': 4.83437, 'lat': 43.79631}",I131000008,ECOLE PRIMAIRE DE L'ARGELIER,Piste d'athlétisme isolée,Equipement d'athlétisme,['Course sur piste'],false,,Route d’Avignon,13100,,Commune,true
209203,"{'lon': 5.0983, 'lat': 43.63866}",I131030002,LYCEE DE L'EMPERI,Structure Artificielle d'Escalade,Structure Artificielle d'Escalade,['Escalade'],false,,21 MONTEE DU PUECH BP 134,13103,,Région,true
209205,"{'lon': 5.369749, 'lat': 43.30746}",I132020012,COLLEGE JEAN CLAUDE IZZO,Piste d'athlétisme isolée,Equipement d'athlétisme,['Course sur piste'],false,,2 Place jean-joseph espercieux,13202,,Département,true
209347,"{'lon': 5.369324, 'lat': 43.353694}",I132150035,Ecoles Aygalades Oasis et Oasis 1,Salle multisports (gymnase),Salle multisports,"['Boxe Anglaise', 'Football / Football en salle (Futsal)', 'Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...', 'Rugby à 13 / Rugby à 7']",false,,Boulevard de la padouane,13215,,Commune,true
210283,"{'lon': 5.15417, 'lat': 43.63524}",I130690006,L'ecole de la gare,Multisports/City-stades,Multisports/City-stades,,,,Avenue Frédéric Mistral,13069,,,true
210320,"{'lon': 5.3787, 'lat': 43.29119}",I132060016,LYCEE MONTGRAND,Salle de danse,Salle ou terrain spécialisé,"['Autres Danses', 'Boxe Anglaise']",false,,13 R MONTGRAND,13206,,Etablissement Public,true
210328,"{'lon': 5.42408, 'lat': 43.2748}",I132100028,LYCEE JEAN PERRIN,Multisports/City-stades,Multisports/City-stades,"['Basket-Ball', 'Football / Football en salle (Futsal)', 'Handball / Mini hand / Handball de plage', 'Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley']",false,,74 Rue Verdillon,13210,,Etablissement Public,true
